,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,k_cluster
16813,16813.0,Mora,0.132,0.55,232496.0,0.598,2.58e-06,0.0955,-5.402,0.0831,83.836,0.5429999999999999,78.0,11,0,2,2
4885,4885.0,Cookin' On 3 Burners,0.0927,0.792,195547.0,0.7170000000000001,3.59e-05,0.226,-4.759,0.0393,121.985,0.466,78.0,0,0,2,2
13349,13349.0,Kungs,0.0927,0.792,195547.0,0.7170000000000001,3.59e-05,0.226,-4.759,0.0393,121.985,0.466,78.0,0,0,1,2
18704,18704.0,Peachy!,0.741,0.516,124000.0,0.358,1.34e-06,0.0813,-12.018,0.424,79.509,0.397,78.0,8,0,1,2
10612,10612.0,J. Rey Soul,0.193,0.894,249143.0,0.635,0.00105,0.0823,-6.9289999999999985,0.0473,105.013,0.428,90.0,2,1,2,1
6515,6515.0,DripReport,0.231,0.8936666666666667,125266.66666666669,0.3656666666666665,0.0073441333333333315,0.1017,-8.971666666666666,0.10613333333333334,100.00933333333334,0.2846666666666667,84.33333333333333,1,1,3,1
20943,20943.0,SUGA,0.115,0.6759999999999999,167573.0,0.8690000000000001,0.0,0.132,-1.5730000000000002,0.0423,120.029,0.594,84.0,1,1,2,1
405,405.0,Adriana Proenza,0.894,0.522,187932.0,0.128,0.026,0.0941,-18.717,0.0357,109.986,0.124,84.0,4,1,2,1
16393,16393.0,Micro TDH,0.0446,0.877,231848.0,0.777,3.46e-05,0.0863,-4.246,0.117,102.02,0.706,80.0,1,1,2,1
4367,4367.0,Chord Overstreet,0.469,0.618,198853.0,0.443,0.0,0.0829,-9.681,0.0526,119.949,0.16699999999999998,79.0,2,1,2,1
27063,27063.0,Zoe Wees,0.643,0.599,230880.0,0.465,1.57e-06,0.149,-4.95,0.0314,113.82,0.0678,79.0,4,1,2,1
20073,20073.0,Rich Music LTD,0.1469,0.7190000000000001,217327.0,0.7859999999999999,0.0,0.29900000000000004,-3.321,0.2215,175.04399999999995,0.7005000000000001,79.0,3,1,2,1
1788,1788.0,Ava Max,0.1466739130434783,0.6290434782608696,179316.17391304352,0.6820869565217391,8.782608695652174e-08,0.15960869565217392,-4.494739130434781,0.06294782608695652,134.16000000000003,0.4970434782608696,78.08695652173913,1,1,23,1
5377,5377.0,Dan Caplen,0.194,0.653,210773.0,0.809,0.0,0.165,-4.057,0.0474,92.213,0.55,78.0,0,1,2,1
18297,18297.0,Pablo Chill-E,0.0869,0.6829999999999999,240253.0,0.677,0.0,0.0998,-4.496,0.0469,156.019,0.514,78.0,1,1,2,1
21756,21756.0,Silk City,0.0104,0.588,238173.0,0.67,3.33e-06,0.338,-6.439,0.0473,118.159,0.505,78.0,0,1,1,1
7577,7577.0,FISHER,0.00181,0.76,248036.0,0.964,0.703,0.0975,-5.8439999999999985,0.0577,125.003,0.643,78.0,2,1,2,1
13882,13882.0,Lenny Tavárez,0.22186875,0.70275,269048.3125,0.6839999999999997,1.2918125000000004e-05,0.18100000000000002,-4.6663125,0.17773124999999995,163.89137499999995,0.7273125,77.6875,1,1,16,1
21112,21112.0,Sammy,0.149,0.6559999999999999,307435.0,0.662,8e-06,0.16,-1.3869999999999998,0.191,189.983,0.573,77.0,1,1,1,1
5120,5120.0,Curtis Roach,0.0202,0.928,174933.0,0.3720000000000001,9.6e-06,0.0948,-10.393,0.321,112.458,0.732,77.0,1,1,2,1
24920,24920.0,Theresa Rex,0.289,0.46,220396.0,0.8,6.16e-06,0.121,-3.584,0.05,102.46,0.5529999999999999,77.0,1,1,2,1
22789,22789.0,Super Yei,0.149,0.6559999999999999,307435.0,0.662,8e-06,0.16,-1.3869999999999998,0.191,189.983,0.573,77.0,1,1,1,1
8408,8408.0,Gabriela,0.221,0.779,176440.0,0.764,0.000669,0.0909,-8.217,0.0938,158.093,0.675,77.0,0,1,2,1
14012,14012.0,Lewis Capaldi,0.6428466666666668,0.5946333333333332,204545.9,0.4496999999999999,0.0,0.14051999999999995,-6.5314000000000005,0.04339333333333335,107.53829999999998,0.32733333333333337,76.53333333333333,1,1,30,1
18689,18689.0,Paulo Londra,0.32299999999999995,0.767,258639.0,0.7090000000000001,0.0,0.0676,-4.47,0.336,171.993,0.72,76.0,1,1,2,1
6743,6743.0,Ed Maverick,0.946,0.83,207400.0,0.159,2.02e-05,0.362,-14.461,0.0383,104.95,0.189,76.0,1,1,2,1
1041,1041.0,Andra Day,0.805,0.398,253342.0,0.316,0.0,0.295,-7.0310000000000015,0.0368,118.582,0.174,76.0,1,1,2,1
14318,14318.0,Llane,0.0519,0.82,290160.0,0.7829999999999999,0.0,0.111,-4.266,0.141,91.957,0.52,76.0,2,1,1,1
1519,1519.0,Arizona Zervas,0.120525,0.7401666666666668,171214.0,0.6805833333333334,2.5975e-06,0.21726666666666666,-5.447416666666666,0.13946666666666668,126.43916666666668,0.5348333333333333,75.58333333333333,0,1,12,1
14929,14929.0,Lute,0.511,0.691,202040.0,0.64,0.0,0.409,-6.441,0.369,138.672,0.163,75.0,0,1,1,1
13497,13497.0,La Marisoul,0.807,0.602,305120.0,0.398,0.0,0.703,-9.503,0.104,126.285,0.603,75.0,0,1,2,1
27262,27262.0,Ángela Aguilar,0.807,0.602,305120.0,0.398,0.0,0.703,-9.503,0.104,126.285,0.603,75.0,0,1,1,1
8805,8805.0,Ghetto Kids,0.0532,0.847,171000.0,0.736,0.00014199999999999998,0.0302,-4.542,0.266,160.012,0.8759999999999999,75.0,1,1,1,1
15130,15130.0,Mad Fuentes,0.0532,0.847,171000.0,0.736,0.00014199999999999998,0.0302,-4.542,0.266,160.012,0.8759999999999999,75.0,1,1,2,1
26382,26382.0,White Noise for Babies,0.65725,0.0,85138.25,0.2407725,0.99925,0.1895,-26.217,0.0,0.0,0.0,79.25,8,1,4,0
25276,25276.0,Tony Igy,0.00561,0.653,198095.0,0.945,0.915,0.439,-2.634,0.096,126.093,0.326,79.0,5,1,4,0
16394,16394.0,Microdynamic Recordings,0.0926,0.0,143583.0,0.00216,0.982,0.821,-22.55,0.0,0.0,0.0,76.0,10,1,2,0
20863,20863.0,RŮDE,0.0347,0.655,205766.0,0.487,0.897,0.271,-7.987999999999999,0.033,139.914,0.0454,76.0,6,1,2,0
